x,y
0,4114.312
1,39.43143
2,33.44268
3,31.22804
4,48.64323
5,53.64176
6,54.88729
7,75.78262
8,98.29202
9,194.6947
10,1099.199
11,309.8431
12,131.4828
13,101.45
14,72.08053
15,68.01356
16,54.50959
17,38.85628
18,47.28477
19,48.2107
20,42.23258
21,44.27076
22,39.04737
23,42.56255
24,58.36135
25,55.09692
26,56.66281
27,76.54503
28,94.79323
29,164.8934
30,388.8522
31,695.9363
32,172.0521
33,112.6115
34,66.74231
35,55.66605
36,35.70198
37,24.54761
38,33.22668
39,25.897
40,17.53202
41,16.5381
42,13.37329
43,13.70523
44,18.24306
45,3.028797
46,4.541702
47,12.83315
48,8.865075
49,19.02878
50,27.07762
51,502.7561
52,59.28278
53,30.14208
54,36.91436
55,27.03277
56,30.38709
57,25.02485
58,11.87669
59,20.82785
60,26.01569
61,19.75479
62,23.03333
63,18.83088
64,18.68028
65,33.10797
66,29.30442
67,26.48397
68,38.56855
69,47.52975
70,87.50491
71,234.597
72,240.0711
73,71.93471
74,60.56604
75,32.23835
76,32.17794
77,16.75625
78,7.318788
79,18.81672
80,16.27086
81,11.30628
82,10.57127
83,7.777009
84,8.362128
85,16.42107
86,5.056831
87,8.242066
88,12.7112
89,10.71048
90,28.87728
91,21.29555
92,282.8606
93,9.794429
94,27.15461
95,9.404166
96,9.619224
97,13.18965
98,9.982588
99,3.140229
100,5.385944
101,12.16129
102,7.400887
103,12.66966
104,5.822793
105,4.074432
106,18.94306
107,16.14467
108,15.22263
109,20.06335
110,27.05132
111,53.59171
112,184.069
113,114.0289
114,38.74969
115,45.81052
116,24.15044
117,25.78593
118,14.73869
119,5.508567
120,15.97515
121,17.07956
122,8.493969
123,10.25367
124,9.41023
125,8.004615
126,18.64952
127,7.626975
128,6.74242
129,16.01179
130,17.66883
131,32.77211
132,46.68224
133,185.8516
134,25.23854
135,35.69909
136,8.318862
137,14.73076
138,5.854158
139,5.54658
140,8.457902
141,2.402616
142,9.43406
143,1.847676
144,8.306309
145,3.2809
146,4.56099
147,11.40905
148,11.27445
149,8.951177
150,10.05695
151,21.78585
152,30.64199
153,155.0115
154,54.10032
155,22.13553
156,33.76385
157,18.14288
158,22.17889
159,12.74327
160,1.855162
161,12.02392
162,15.78013
163,9.01425
164,11.31936
165,7.816332
166,7.234491
167,18.57948
168,10.17467
169,9.27729
170,15.55109
171,19.30689
172,34.99761
173,63.90688
174,125.5749
175,25.395
176,40.2904
177,9.276046
178,16.19603
179,4.623331
180,4.936946
181,9.50995
182,5.621808
183,7.651711
184,0.8065827
185,8.218928
186,1.759032
187,6.777303
188,7.698291
189,10.23234
190,9.063533
191,7.649669
192,19.04315
193,13.68341
194,133.5638
195,19.07307
196,19.7381
197,22.40577
198,12.8123
199,16.52168
200,9.27787
201,3.373071
202,6.842316
203,12.49319
204,5.611346
205,9.006942
206,5.508599
207,3.348575
208,15.37559
209,8.879065
210,8.715022
211,11.78176
212,19.22231
213,31.18294
214,72.38431
215,85.2262
216,22.46985
217,41.9846
218,12.95045
219,18.15141
220,6.397663
221,4.444131
222,11.00928
223,9.439885
224,4.9942
225,3.933645
226,8.002336
227,3.247965
228,10.63368
229,1.646599
230,6.640486
231,10.68385
232,9.109971
233,19.06096
234,4.565015
235,111.7944
236,3.896607
237,26.81582
238,15.48818
239,13.1482
240,12.62603
241,8.155113
242,5.176848
243,3.707144
244,12.01544
245,4.065676
246,8.386429
247,5.301881
248,3.500143
249,13.74283
250,9.945004
251,8.066637
252,9.720884
253,20.09465
254,26.14347
255,77.94774
