x,y
0,0.3797799
1,0.38662
2,0.4078018
3,0.4455546
4,0.5045466
5,0.5939619
6,0.7326256
7,0.9637352
8,1.409518
9,2.595478
10,14.74979
11,4.137128
12,1.842154
13,1.196593
14,0.8922936
15,0.7151077
16,0.5990341
17,0.5170109
18,0.4558949
19,0.4085364
20,0.370713
21,0.3397717
22,0.3139619
23,0.2920821
24,0.2732797
25,0.2569337
26,0.2425805
27,0.2298672
28,0.21852
29,0.2083238
30,0.1991065
31,0.1907293
32,0.1830789
33,0.1760613
34,0.1695989
35,0.163626
36,0.1580873
37,0.1529354
38,0.1481301
39,0.1436361
40,0.1394234
41,0.1354654
42,0.1317393
43,0.1282241
44,0.1249022
45,0.1217576
46,0.118776
47,0.1159447
48,0.1132524
49,0.1106886
50,0.1082442
51,0.1059109
52,0.103681
53,0.1015477
54,0.09950446
55,0.09754595
56,0.09566657
57,0.09386168
58,0.09212679
59,0.09045783
60,0.088851
61,0.08730286
62,0.08581023
63,0.08437001
64,0.08297954
65,0.08163625
66,0.08033777
67,0.07908165
68,0.0778661
69,0.0766889
70,0.07554852
71,0.07444299
72,0.07337078
73,0.07233048
74,0.07132086
75,0.07033978
76,0.06938682
77,0.06846058
78,0.06755982
79,0.06668369
80,0.06583097
81,0.06500084
82,0.06419241
83,0.06340475
84,0.06263722
85,0.06188894
86,0.06115931
87,0.06044735
88,0.05975275
89,0.05907472
90,0.05841266
91,0.05776616
92,0.05713452
93,0.05651731
94,0.05591399
95,0.05532416
96,0.05474732
97,0.05418307
98,0.05363105
99,0.05309079
100,0.05256196
101,0.05204415
102,0.05153703
103,0.05104043
104,0.05055386
105,0.05007703
106,0.04960991
107,0.0491516
108,0.04870245
109,0.04826196
110,0.04782991
111,0.04740606
112,0.04699023
113,0.04658213
114,0.04618147
115,0.04578832
116,0.0454022
117,0.04502303
118,0.0446507
119,0.04428487
120,0.04392552
121,0.0435724
122,0.04322537
123,0.04288431
124,0.04254903
125,0.04221936
126,0.0418952
127,0.04157646
128,0.04126298
129,0.04095456
130,0.04065115
131,0.04035268
132,0.04005894
133,0.03976986
134,0.03948527
135,0.03920517
136,0.03892943
137,0.03865797
138,0.03839052
139,0.0381273
140,0.03786798
141,0.03761257
142,0.03736094
143,0.03711298
144,0.03686873
145,0.036628
146,0.03639075
147,0.03615696
148,0.03592655
149,0.03569936
150,0.03547532
151,0.03525452
152,0.03503672
153,0.03482205
154,0.03461028
155,0.0344014
156,0.03419537
157,0.03399213
158,0.03379162
159,0.03359383
160,0.03339861
161,0.03320602
162,0.03301588
163,0.03282835
164,0.03264317
165,0.03246045
166,0.03228008
167,0.03210198
168,0.03192614
169,0.03175254
170,0.03158113
171,0.03141183
172,0.03124467
173,0.03107959
174,0.03091648
175,0.03075548
176,0.03059636
177,0.03043924
178,0.030284
179,0.03013057
180,0.02997907
181,0.02982935
182,0.02968135
183,0.02953511
184,0.02939062
185,0.02924776
186,0.02910664
187,0.02896716
188,0.02882921
189,0.02869292
190,0.02855813
191,0.0284249
192,0.02829316
193,0.0281629
194,0.02803416
195,0.02790681
196,0.02778091
197,0.02765645
198,0.02753314
199,0.02741143
200,0.027291
201,0.02717191
202,0.02705392
203,0.02693743
204,0.02682214
205,0.02670806
206,0.02659523
207,0.02648354
208,0.0263731
209,0.02626378
210,0.02615569
211,0.02604861
212,0.0259427
213,0.02583799
214,0.02573402
215,0.02563163
216,0.02553006
217,0.02542956
218,0.02533016
219,0.02523159
220,0.02513416
221,0.02503765
222,0.02494211
223,0.02484761
224,0.02475403
225,0.02466137
226,0.02456965
227,0.02447884
228,0.02438892
229,0.02429984
230,0.0242117
231,0.02412445
232,0.02403803
233,0.02395243
234,0.02386772
235,0.02378378
236,0.02370069
237,0.02361838
238,0.02353684
239,0.02345611
240,0.02337615
241,0.02329697
242,0.02321852
243,0.02314082
244,0.0230639
245,0.02298763
246,0.022912
247,0.02283735
248,0.0227632
249,0.0226899
250,0.02261709
251,0.02254516
252,0.02247379
253,0.02240308
254,0.022333
255,0.02226361
